id,type,category,organization,target_role,email,pec,website,level,region,province,priority,docenti_target
"ORD-NAT-001","ORDINE","INGEGNERIA_TECNICA","Consiglio Nazionale degli Ingegneri (CNI)","Presidente e Consiglio Nazionale","segreteria@cni.it","segreteria@ingpec.eu","https://www.cni.it","NAZIONALE","NAZIONALE","RM","CRITICA","Ingegneri civili, ambientali, industriali, dell'informazione, biomedici, gestionali"
"ORD-NAT-002","ORDINE","INGEGNERIA_TECNICA","Consiglio Nazionale degli Architetti, Pianificatori, Paesaggisti e Conservatori (CNAPPC)","Presidente e Consiglio Nazionale","direzione.cappc@archiworld.it","direzione.cappc@archiworldpec.it","https://www.awn.it","NAZIONALE","NAZIONALE","RM","CRITICA","Architetti, pianificatori territoriali, paesaggisti, conservatori beni architettonici"
"ORD-NAT-003","ORDINE","ECONOMIA_GIURIDICA","Consiglio Nazionale dei Dottori Commercialisti e degli Esperti Contabili (CNDCEC)","Presidente e Consiglio Nazionale","info@commercialisti.it","cndcec@pec.commercialisti.it","https://www.commercialisti.it","NAZIONALE","NAZIONALE","RM","CRITICA","Commercialisti, esperti contabili, revisori legali, esperti fiscali e di finanza aziendale"
"ORD-NAT-004","ORDINE","ECONOMIA_GIURIDICA","Consiglio Nazionale Forense (CNF)","Presidente e Consiglio Nazionale","urp@consiglionazionaleforense.it","segreteria@pec.cnf.it","https://www.consiglionazionaleforense.it","NAZIONALE","NAZIONALE","RM","CRITICA","Avvocati, giuristi d'impresa, docenti diritto commerciale, lavoro, tributario, privacy/IA"
"ORD-NAT-005","ORDINE","ECONOMIA_GIURIDICA","Consiglio Nazionale dell'Ordine dei Consulenti del Lavoro (CNO)","Presidente e Consiglio Nazionale","segreteria@consulentidellavoro.it","consiglionazionale@consulentidellavoropec.it","https://www.consulentidellavoro.it","NAZIONALE","NAZIONALE","RM","CRITICA","Consulenti del lavoro, esperti payroll, HR management, relazioni industriali, welfare"
"ORD-NAT-006","ORDINE","SANITA_SCIENZE_VITA","Federazione Nazionale degli Ordini dei Medici Chirurghi e Odontoiatri (FNOMCeO)","Presidente e Consiglio Direttivo","segreteria@fnomceo.it","segreteria@pec.fnomceo.it","https://portale.fnomceo.it","NAZIONALE","NAZIONALE","RM","CRITICA","Medici, odontoiatri, specialisti sanità pubblica, telemedicina, gestione del rischio clinico"
"ORD-NAT-007","ORDINE","SANITA_SCIENZE_VITA","Federazione Nazionale degli Ordini delle Professioni Infermieristiche (FNOPI)","Presidente e Comitato Centrale","segreteria@fnopi.it","federazione@cert.fnopi.it","https://www.fnopi.it","NAZIONALE","NAZIONALE","RM","CRITICA","Infermieri specialisti, coordinatori d'area critica, infermieri di famiglia e comunità"
"ORD-NAT-008","ORDINE","SANITA_SCIENZE_VITA","Federazione Nazionale Ordini dei Farmacisti Italiani (FOFI)","Presidente e Consiglio Direttivo","posta@fofi.it","posta@pec.fofi.it","https://www.fofi.it","NAZIONALE","NAZIONALE","RM","ALTA","Farmacisti territoriali, ospedalieri, esperti galenica, farmacovigilanza e nutriceutica"
"ORD-NAT-009","ORDINE","SANITA_SCIENZE_VITA","Federazione Nazionale Ordini Veterinari Italiani (FNOVI)","Presidente e Consiglio Direttivo","info@fnovi.it","fnovi@pec.fnovi.it","https://www.fnovi.it","NAZIONALE","NAZIONALE","RM","ALTA","Medici veterinari, esperti sicurezza alimentare, igiene degli allevamenti, One Health"
"ORD-NAT-010","ORDINE","SANITA_SCIENZE_VITA","Consiglio Nazionale Ordine Psicologi (CNOP)","Presidente e Consiglio Nazionale","info@psy.it","segreteria@pec.psy.it","https://www.psy.it","NAZIONALE","NAZIONALE","RM","ALTA","Psicologi del lavoro, psicoterapeuti, esperti neuropsicologia, PNL, benessere organizzativo"
"ORD-NAT-011","ORDINE","AGRARIA_AMBIENTE","Consiglio dell'Ordine Nazionale dei Dottori Agronomi e Dottori Forestali (CONAF)","Presidente e Consiglio Nazionale","segreteria@conaf.it","protocollo@pec.conaf.it","https://www.conaf.it","NAZIONALE","NAZIONALE","RM","CRITICA","Agronomi, forestali, esperti agritech, sostenibilità ambientale, bioeconomia"
